Time (s),PSOE Angle,Voltage (Vd)
0.0,0.0,0.0
0.2,0.0,-0.04055907109400599
0.4,0.0,-0.04056318787905425
0.6000000000000001,0.0,-0.040563300683759705
0.8,0.0,-0.04056330334311794
1.0,0.0,-0.0405633034055861
1.2000000000000002,0.0,-0.040563303407052505
1.4000000000000001,0.0,-0.04056330340708682
1.6,0.0,-0.04056330340708857
1.8,0.0,-0.04056330340708976
2.0,0.5,-0.06268661118661278
2.2,0.5,0.7222974294899667
2.4000000000000004,0.5,0.7223383417888137
2.6,0.5,0.7223316297083894
2.8000000000000003,0.5,0.7222566732193088
3.0,0.5,0.7223343355102566
3.2,0.5,0.7223314694254915
3.4000000000000004,0.5,0.722273030793995
3.6,0.5,0.7223357004338111
3.8000000000000003,0.5,0.7223296052705355
4.0,1.0,0.7001963811646045
4.2,1.0,1.2984311361987988
4.4,1.0,1.2983282021835136
4.6000000000000005,1.0,1.2984498149158747
4.800000000000001,1.0,1.2984679187893364
5.0,1.0,1.29840531752781
5.2,1.0,1.298452512745178
5.4,1.0,1.298467954895981
5.6000000000000005,1.0,1.2984056438060319
5.800000000000001,1.0,1.2984525298923195
6.0,1.5,1.2763424538925243
6.2,1.5,1.5467235105075106
6.4,1.5,1.5467418785111189
6.6000000000000005,1.5,1.5467415130621114
6.800000000000001,1.5,1.5467152232293984
7.0,1.5,1.5467418360564091
7.2,1.5,1.5467415120315922
7.4,1.5,1.5467152232155228
7.6000000000000005,1.5,1.5467418360563232
7.800000000000001,1.5,1.5467415120316514
8.0,0.0,1.592711707807468
